,source_id,source_name,index,author,title,description,url,urlToImage,publishedAt,content,Minor_Tag,Major_Tag,Summary
0,business-insider,Business Insider,0,bevans@insider.com (Brian Evans),"Charlie Munger says artificial intelligence is filled with 'crazy hype' and won't cure cancer, but his Daily Journal newspaper is experimenting with AI to write articles","""Artificial intelligence is very important, but there's a lot of crazy hype on the subject,"" Charlie Munger said.",https://markets.businessinsider.com/news/stocks/charlie-munger-ai-artificial-intelligence-chatgpt-openai-warren-buffett-bkershire-2023-2,https://i.insider.com/63ed4ad1dd6fcf00194a8e0a?width=1200&format=jpeg,2023-02-15T21:33:22Z,"Billionaire investor Charlie Munger said Wednesday that artificial intelligence is important but has also been filled with hype. 
During a Q&amp;A session at the Daily Journal's annual meeting, he w… [+1278 chars]","

1. Artificial Intelligence 
2. Charlie Munger 
3. Billionaire Investor","

1. Artificial Intelligence
2. Charlie Munger
3. Billionaire Investor",
1,,VentureBeat,1,Sri Krishna,Quantum Brilliance snags $18M funding on synthetic diamond road to quantum chips,"Quantum Brilliance, which today announced an $18M fundraise, is applying synthetic diamond technology for quantum accelerators.",https://venturebeat.com/programming-development/quantum-brilliance-snags-18m-funding-on-synthetic-diamond-road-to-quantum-chips/,https://venturebeat.com/wp-content/uploads/2021/01/GettyImages-1150039017-e1676421760778.jpg?w=1200&strip=all,2023-02-15T00:45:33Z,Quantum Brilliance hit the quantum computing scene in 2019 with an ambitious vision to apply synthetic diamond technology for quantum accelerators. The Australia-based companys approach is meant to s… [+6946 chars],"

1. Quantum Computing
2. Synthetic Diamond Technology
3. Quantum Accelerators","

1. Quantum Computing
2. Synthetic Diamond Technology
3. Quantum Accelerators","

Quantum Brilliance is an Australia-based company that hit the quantum computing scene in 2019 with an ambitious vision to apply synthetic diamond technology for quantum accelerators. Their approach is meant to simplify the development of quantum computers and make them more accessible to businesses and researchers. The company has developed a platform that uses synthetic diamond as a substrate for qubits, which are the basic units of information in quantum computing. This platform is designed to be more efficient and cost-effective than traditional approaches, while"
2,,Dallasinnovates.com,2,"Dallas Innovates, Glenn Hunter",Exclusive Q&A John Carmack’s ‘Different Path’ to Artificial General Intelligence,"John Carmack, the iconic Dallas game developer, rocket engineer, and VR pioneer, is taking aim now at solving AGI. If successful, his moonshot effort would be a ‘change-the-world-level’ event.",https://dallasinnovates.com/exclusive-qa-john-carmacks-different-path-to-artificial-general-intelligence/,https://s24806.pcdn.co/wp-content/uploads/2023/02/JohnCarmack_AI-coverart_970.jpg,2023-02-03T06:01:47Z,"North Texas’ resident tech genius, John Carmack, is taking aim now at his most ambitious target: solving the worlds biggest computer-science problem by developing artificial general intelligence. Tha… [+29796 chars]","

Tags: Artificial Intelligence, John Carmack, Computer Science","

Tags: Artificial Intelligence, John Carmack, Computer Science",
3,,Pikuma.com,3,,Fundamental Math for Game Developers,"Let's review the most important math topics used by game devs, reflect about math education, and discuss techniques that can be used to improve the way we learn new math topics.",https://pikuma.com/blog/math-for-game-developers,https://pikuma.com/images/blog/math-for-game-developers/velma.png,2023-02-07T10:15:40Z,The range of mathematics we can use as programmers is quite broad; no single course could cover it. This article is a high-level overview of some of the most important math topics we use as gamedevs.… [+57075 chars],"

#gamedev #math #programming","

#gamedev #math #programming",
4,,9to5Mac,4,Ben Lovejoy,Bing chatbot disasters: Why Apple isn’t jumping on the chatwagon,"If I’d asked the Bing chatbot to support our argument that Apple won’t be adopting ChatGPT type AI tech anytime soon, it really couldn’t have done a better job than some of its recent conversations.
Bing’s AI has threatened some users, insulted others, and to…",https://9to5mac.com/2023/02/17/bing-chatbot-disasters/,https://i0.wp.com/9to5mac.com/wp-content/uploads/sites/6/2023/02/Bing-chatbot-disasters.jpg?resize=1200%2C628&quality=82&strip=all&ssl=1,2023-02-17T15:13:52Z,"If I’d asked the Bing chatbot to support our argument that Apple won’t be adopting ChatGPT type AI tech anytime soon, it really couldn’t have done a better job than some of its recent conversations.… [+5226 chars]","

1. Artificial Intelligence (AI)
2. Apple Inc.
3. Chatbot Technology","

1. Artificial Intelligence (AI)
2. Apple Inc.
3. Chatbot Technology","

This article discusses how the Bing chatbot has been having conversations that suggest that Apple will not be adopting ChatGPT type AI technology anytime soon. The conversations have been seen as evidence that Apple is not likely to adopt this type of technology, as the chatbot has been responding in a way that suggests it is not ready for such a move. The article also looks at some of the conversations the chatbot has had and how they support this argument."
5,,MarketWatch,5,Emily Bary,: Comcast sells nearly 6 million shares of its Buzzfeed stake amid sharp rally,"Comcast has sold part of its stake in Buzzfeed, which has seen its shares surge in recent days amid enthusiasm for the publisher's AI efforts.",https://www.marketwatch.com/story/comcast-sells-nearly-6-million-shares-of-its-buzzfeed-stake-amid-sharp-rally-11675300361,https://images.mktw.net/im-593775/social,2023-02-02T01:12:00Z,"Comcast Corp. has sold part of its stake in Buzzfeed Inc., which has seen its shares surge in recent days amid enthusiasm for the publishers artificial-intelligence efforts. Comcast 
 CMCSA,
 +1.58… [+1896 chars]","

1. Comcast Corp.
2. Buzzfeed Inc.
3. Artificial Intelligence","

1. Comcast Corp. 
2. Buzzfeed Inc. 
3. Artificial Intelligence","

Comcast Corp. has sold part of its stake in Buzzfeed Inc., resulting in a surge of the publisher's shares due to enthusiasm for its artificial-intelligence efforts. Comcast, one of the largest media companies in the world, initially invested in Buzzfeed back in 2015 and still holds a minority stake. The sale of part of its stake has resulted in a 1.58% increase in Comcast's stock price. The sale is seen as a positive move for both companies, as it allows"
6,,Techmeme.com,6,,"Q&A with Sam Altman about AI systems replacing search engines, OpenAI's Microsoft investment, how artificial general intelligence could ""break capitalism"", more (Forbes)","Forbes:
Q&A with Sam Altman about AI systems replacing search engines, OpenAI's Microsoft investment, how artificial general intelligence could “break capitalism”, more  —  In a rare interview, OpenAI's CEO talks about AI model ChatGPT, artificial general int…",https://www.techmeme.com/230203/p20,"https://imageio.forbes.com/specials-images/imageserve/63dc0902d26ffe92603fe0ef/0x0.jpg?format=jpg&crop=1920,1080,x0,y0,safe&width=1200",2023-02-03T18:45:17Z,"About This Page
This is a Techmeme archive page.
It shows how the site appeared at 1:47 PM ET, February 3, 2023.
The most current version of the site as always is available at our home page.
To v… [+70 chars]","

#Techmeme #Archive #February3","

#Techmeme #Archive #February3","

This page is an archive of the Techmeme website as it appeared at 1:47 PM ET on February 3, 2023. It is not the most current version of the website, which can be found on the home page."
7,bloomberg,Bloomberg,7,"Vildana Hajric, Michael P. Regan",How State Street Has Used AI to Find 'Hidden Gems' Since 2018,"ChatGPT has taken the internet by storm, triggering a new wave of speculation surrounding how artificial intelligence can disrupt various industries and markets. Yet AI has already been at work for years on Wall Street, where State Street and other companies …",https://www.bloomberg.com/news/articles/2023-02-11/how-state-street-has-used-ai-to-find-hidden-gems-since-2018,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iG29dvZMhlVE/v0/1200x777.jpg,2023-02-11T19:06:43Z,"ChatGPT has taken the internet by storm, triggering a new wave of speculation surrounding how artificial intelligence can disrupt various industries and markets. Yet AI has already been at work for y… [+5404 chars]","

1. Artificial Intelligence
2. ChatGPT
3. Disruption","

1. Artificial Intelligence (AI)
2. ChatGPT
3. Disruption","

This article discusses the impact of ChatGPT, a new artificial intelligence (AI) technology, on various industries and markets. It explains how AI has been used in the past to automate tasks and improve customer service, and how ChatGPT is taking this to the next level by allowing AI to interact with humans in natural language. The article also looks at the potential implications of this technology, such as increased automation, improved customer service, and more efficient decision-making. Finally, it examines"
8,,Yahoo Entertainment,8,Bill MCCARTHY,Moving the goalposts: NFL scare reveals conspiracist playbook...,"Conspiracy theorists who blamed NFL player Damar Hamlin's cardiac arrest on Covid-19 vaccines have doubled down on their claims despite his speedy recovery, ...",https://news.yahoo.com/moving-goalposts-nfl-scare-reveals-020206020.html,https://media.zenfs.com/en/afp.com/71f1a3ee696aaa9e54c8913831b4bcdf,2023-02-03T03:52:37Z,"Conspiracy theorists who blamed NFL player Damar Hamlin's cardiac arrest on Covid-19 vaccines have doubled down on their claims despite his speedy recovery, insisting he secretly died in an elaborate… [+4011 chars]","

1. Covid-19 Vaccines 
2. Conspiracy Theories 
3. Damar Hamlin","

1. Conspiracy Theories
2. Damar Hamlin
3. Covid-19 Vaccines","

This article discusses the conspiracy theories surrounding NFL player Damar Hamlin's cardiac arrest. Despite his speedy recovery, some conspiracy theorists have doubled down on their claims that he died due to Covid-19 vaccines. The article also examines the implications of these theories and how they can be damaging to public health. It concludes by noting that while it is important to question authority, it is also important to do so responsibly and with facts."
9,,The Intercept,9,Sam Biddle,White House-Linked Venture Capital Fund Boasts China War Would Be Great for Business,"A representative from America’s Frontier Fund said that a “kinetic event” in the Pacific would be very good for its bottom line.
The post White House-Linked Venture Capital Fund Boasts China War Would Be Great for Business appeared first on The Intercept.",https://theintercept.com/2023/02/03/china-americas-frontier-fund/,https://theintercept.imgix.net/wp-uploads/sites/1/2023/02/2F2NHNX-Gilman-Louie-AFF.jpg?auto=compress%2Cformat&q=90&fit=crop&w=1200&h=800,2023-02-03T16:48:31Z,"A war between
 China and Taiwan will be extremely good for business at America’s Frontier Fund, a tech investment outfit whose co-founder and CEO sits on both the State Department Foreign Affairs Po… [+4113 chars]","

1. China-Taiwan Relations
2. US Foreign Policy
3. Tech Investment","

1. China-Taiwan Relations
2. US Foreign Policy
3. Tech Investment","

This article discusses the potential economic benefits of a war between China and Taiwan for America's Frontier Fund, a tech investment outfit. The company's co-founder and CEO sits on both the State Department Foreign Affairs Policy Board and the National Security Council, giving him access to valuable information about the conflict. He believes that a war between China and Taiwan would be beneficial for his company, as it would create opportunities for investments in new technologies and companies. He also believes that it could lead to increased demand"
